%,CANDIDATE,CONSTITUENCY,NUMBER OF SEATS,No.,PARTY,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
55.34,BODDEPALLI RAJAGOPALA RAO NA,SRIKAKULAM,1,1,INC,Andhra Pradesh,84797,153238,153238,416861,36.76
44.66,KARIMI NARAYANAPPALA NAIDU NA,SRIKAKULAM,1,2,IND,Andhra Pradesh,68441,153238,153238,416861,36.76
25.65,B. SATYANARAYANA NA,PARVATHIPURAM,2,1,INC,Andhra Pradesh,126792,494403,494403,827104,29.89
25.20,DIPPALA SURI DORA NA,PARVATHIPURAM,2,4,IND,Andhra Pradesh,124604,494403,494403,827104,29.89
25.09,V.V. GIRI NA,PARVATHIPURAM,2,3,INC,Andhra Pradesh,124039,494403,494403,827104,29.89
24.06,VASIREDDY KRISHNAMURTHY NAIDU NA,PARVATHIPURAM,2,2,IND,Andhra Pradesh,118968,494403,494403,827104,29.89
64.75,PUSAPATI VIJAYARAMA GAJAPATHI RAJU NA,VISAKHAPATNAM,1,3,IND,Andhra Pradesh,88563,136779,136779,371425,36.83
20.07,MALLAVARAPU VENKATA KRISHNA RAO NA,VISAKHAPATNAM,1,1,INC,Andhra Pradesh,27449,136779,136779,371425,36.83
15.18,LANKA SUNDARAM NA,VISAKHAPATNAM,1,2,IND,Andhra Pradesh,20767,136779,136779,371425,36.83
17.20,MISSULA SURYANARAYANA MURTHY NA,GOLUGONDA,2,1,INC,Andhra Pradesh,84780,493010,493010,820319,30.05
17.19,KANKIPATI VEERANNA PADAL NA,GOLUGONDA,2,5,INC,Andhra Pradesh,84738,493010,493010,820319,30.05
13.98,KODUGANTI GOVINDA RAO NA,GOLUGONDA,2,4,CPI,Andhra Pradesh,68911,493010,493010,820319,30.05
12.42,SYAMALA SEETARAMAYYA NA,GOLUGONDA,2,10,CPI,Andhra Pradesh,61251,493010,493010,820319,30.05
11.30,GORREPATI BUTCHI APPA RAO NA,GOLUGONDA,2,2,IND,Andhra Pradesh,55727,493010,493010,820319,30.05
9.81,DEPURU KONDALA RAO NA,GOLUGONDA,2,9,IND,Andhra Pradesh,48344,493010,493010,820319,30.05
5.94,KARAM BAPANNA DORA NA,GOLUGONDA,2,6,PP,Andhra Pradesh,29303,493010,493010,820319,30.05
4.47,SABBI RANGANAYAKULU NA,GOLUGONDA,2,3,PP,Andhra Pradesh,22060,493010,493010,820319,30.05
4.15,GAM MALLU DORA NA,GOLUGONDA,2,8,IND,Andhra Pradesh,20452,493010,493010,820319,30.05
3.54,P. GNANA BHUSHANAM NA,GOLUGONDA,2,7,IND,Andhra Pradesh,17444,493010,493010,820319,30.05
UNCONTESTED,D. SATYANARAYANA RAJU NA,RAJAMUNDRY,1,1,INC,Andhra Pradesh,RETURNED,0,0,430056,0.00
27.39,B.S. MURTHY NA,KAKINADA,2,5,INC,Andhra Pradesh,204319,745933,745933,903182,41.29
26.13,MOSALAKANTI TIRUMALA RAO NA,KAKINADA,2,1,INC,Andhra Pradesh,194879,745933,745933,903182,41.29
19.94,CHELIKANI VANKATA RAMA RAO NA,KAKINADA,2,2,CPI,Andhra Pradesh,148774,745933,745933,903182,41.29
14.85,EALY VADAPALLY NA,KAKINADA,2,6,SCF,Andhra Pradesh,110757,745933,745933,903182,41.29
4.46,KASIBATLA JAGANNADHAM NA,KAKINADA,2,3,IND,Andhra Pradesh,33300,745933,745933,903182,41.29
4.43,NEETIPUDI GANAPATI RAO NA,KAKINADA,2,7,IND,Andhra Pradesh,33068,745933,745933,903182,41.29
2.79,C.V.K. RAO NA,KAKINADA,2,4,IND,Andhra Pradesh,20836,745933,745933,903182,41.29
51.58,UDDARAJU RAMAM NA,NARSAPUR,1,2,CPI,Andhra Pradesh,134119,260037,260037,457723,56.81
37.94,MANGANTI BAPINEEDU NA,NARSAPUR,1,1,INC,Andhra Pradesh,98654,260037,260037,457723,56.81
9.04,PASALA SURYA CHANDRA RAO NA,NARSAPUR,1,3,IND,Andhra Pradesh,23495,260037,260037,457723,56.81
1.45,MAMIDI PATTABHI RAMA RAO NA,NARSAPUR,1,4,BJS,Andhra Pradesh,3769,260037,260037,457723,56.81
51.16,KUMARI MOTHEY VEDA KUMARI NA,ELURU,1,2,INC,Andhra Pradesh,115280,225340,225340,418227,53.88
48.84,VEERAMACHINENI VIMALADEVI NA,ELURU,1,1,CPI,Andhra Pradesh,110060,225340,225340,418227,53.88
54.86,DUGGIRALA BALARAMA KRISHNAIAH NA,GUDIVADA,1,2,INC,Andhra Pradesh,155873,284126,284126,458205,62.01
45.14,KADIYALA GOPALA RAO NA,GUDIVADA,1,1,CPI,Andhra Pradesh,128253,284126,284126,458205,62.01
0.00,MATLAPUDI VENKATASUBBA RAO NA,GUDIVADA,1,3,IND,Andhra Pradesh,0,284126,284126,458205,62.01
48.74,KOMARRAJU ACHAMAMBA NA,VIJAYAWADA,1,2,INC,Andhra Pradesh,116861,239762,239762,406776,58.94
47.87,TAMMINA POTHA RAJU NA,VIJAYAWADA,1,1,CPI,Andhra Pradesh,114773,239762,239762,406776,58.94
3.39,NARRA VENKATESHWARA RAO NA,VIJAYAWADA,1,3,IND,Andhra Pradesh,8128,239762,239762,406776,58.94
47.65,MANDALI VENKATA KRISHNA RAO NA,MASULIPATNAM,1,1,INC,Andhra Pradesh,123242,258626,258626,438973,58.92
44.73,YEIAMANCHILLI NAGABHUSHANAM NA,MASULIPATNAM,1,2,IND,Andhra Pradesh,115691,258626,258626,438973,58.92
5.21,BHAGODI MANIKYA RAO NA,MASULIPATNAM,1,3,IND,Andhra Pradesh,13475,258626,258626,438973,58.92
