%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
49.12,RAJGOPALARAO BODDEPALLI,SRIKAKULAM,1,INC,M,ANDHRA PRADESH,187125,394514,380951,585062,67.43
46.83,GOUTHU LATCHANNA,SRIKAKULAM,2,BLD,M,ANDHRA PRADESH,178391,394514,380951,585062,67.43
4.05,BOMPALLI RAMANNA,SRIKAKULAM,3,IND,M,ANDHRA PRADESH,15435,394514,380951,585062,67.43
55.0,VYRICHORLA KISHORE CHANDRA SURYANARAYANA DEO,PARVATHIPURAM (ST),1,INC,M,ANDHRA PRADESH,174454,330291,317164,655999,50.35
45.0,SATYA PRASAD THATRAJ VEERAVARA THODARMAL,PARVATHIPURAM (ST),2,BLD,M,ANDHRA PRADESH,142710,330291,317164,655999,50.35
51.75,PUSAPATI VIJAYRAMA GAJAPATHI RAJU,BOBBILI,1,INC,M,ANDHRA PRADESH,171095,342868,330592,635653,53.94
36.15,PEESAPATI PUNDARIKAKSHA CHARI,BOBBILI,2,BLD,M,ANDHRA PRADESH,119507,342868,330592,635653,53.94
4.81,PENTA RAMASWAMY,BOBBILI,3,IND,M,ANDHRA PRADESH,15911,342868,330592,635653,53.94
2.76,APPARAO GUDIVADA,BOBBILI,4,IND,M,ANDHRA PRADESH,9126,342868,330592,635653,53.94
2.23,RAMULU BOTSA,BOBBILI,5,IND,M,ANDHRA PRADESH,7386,342868,330592,635653,53.94
1.53,U. L. N. RAJU,BOBBILI,6,IND,M,ANDHRA PRADESH,5070,342868,330592,635653,53.94
0.76,APPALANAIDU GOTTAPU,BOBBILI,7,IND,M,ANDHRA PRADESH,2497,342868,330592,635653,53.94
51.0,DRONAMRAJU SATYANARAYANA,VISAKHAPATNAM,1,INC,M,ANDHRA PRADESH,171657,348049,336577,626272,55.57
38.28,TENNETI VISWANATHAN,VISAKHAPATNAM,2,BLD,M,ANDHRA PRADESH,128828,348049,336577,626272,55.57
9.97,M. V. BHADRAM,VISAKHAPATNAM,3,CPI,M,ANDHRA PRADESH,33564,348049,336577,626272,55.57
0.75,SURENDRANATH KANDALA,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,2528,348049,336577,626272,55.57
59.91,RADHA BAI ANANDA RAO,BHADRACHALAM (ST),1,INC,F,ANDHRA PRADESH,155198,270495,259060,598925,45.16
22.86,P. VANI RAMANARAO,BHADRACHALAM (ST),2,BLD,F,ANDHRA PRADESH,59230,270495,259060,598925,45.16
10.8,SODE RAMAIAH,BHADRACHALAM (ST),3,CPI,M,ANDHRA PRADESH,27966,270495,259060,598925,45.16
4.06,SURABOINA SUVARNA KUMAR,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,10528,270495,259060,598925,45.16
1.54,KARAM BAAPANNA DORA,BHADRACHALAM (ST),5,IND,M,ANDHRA PRADESH,3999,270495,259060,598925,45.16
0.83,TELLAM SUNDARA RAO,BHADRACHALAM (ST),6,IND,M,ANDHRA PRADESH,2139,270495,259060,598925,45.16
54.3,APPALANAIDU S. R. A. S.,ANAKAPALLI,1,INC,M,ANDHRA PRADESH,199228,378738,366879,708066,53.49
44.51,CHALAPATHI RAO P. V.,ANAKAPALLI,2,BLD,M,ANDHRA PRADESH,163292,378738,366879,708066,53.49
1.19,BONU LAKSHMANARAO,ANAKAPALLI,3,IND,M,ANDHRA PRADESH,4359,378738,366879,708066,53.49
61.89,SANJEEVIRAO M. S.,KAKINADA,1,INC,M,ANDHRA PRADESH,269017,446438,434644,656501,68.0
33.53,VADDI MUTYALARAO,KAKINADA,2,BLD,M,ANDHRA PRADESH,145749,446438,434644,656501,68.0
2.57,CHINTA SUBBARAO,KAKINADA,3,IND,M,ANDHRA PRADESH,11151,446438,434644,656501,68.0
1.28,DADALA RAMANAYYA,KAKINADA,4,IND,M,ANDHRA PRADESH,5557,446438,434644,656501,68.0
0.73,CHINTAPALLI APPARAO,KAKINADA,5,IND,M,ANDHRA PRADESH,3170,446438,434644,656501,68.0
61.07,PATTABHIRAMA RAO S. B. P.,RAJAHMUNDRY,1,INC,M,ANDHRA PRADESH,292323,489814,478638,707836,69.2
36.68,MANTHENA VENKATA SURYA SUBBARAJU,RAJAHMUNDRY,2,BLD,M,ANDHRA PRADESH,175564,489814,478638,707836,69.2
1.29,PADMARAJU VARREY,RAJAHMUNDRY,3,IND,M,ANDHRA PRADESH,6157,489814,478638,707836,69.2
0.59,VEMAVARAPU SAMUEL,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,2833,489814,478638,707836,69.2
0.37,DADALA RAMANAYYA,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,1761,489814,478638,707836,69.2
64.68,KUSUMA KRISHNA MURTY,AMALAPURAM (SC),1,INC,M,ANDHRA PRADESH,271982,431758,420509,639473,67.52
32.34,B. V. RAMANAYYA,AMALAPURAM (SC),2,BLD,M,ANDHRA PRADESH,135993,431758,420509,639473,67.52
2.98,MOHANARAO KANETY,AMALAPURAM (SC),3,IND,M,ANDHRA PRADESH,12534,431758,420509,639473,67.52
55.65,ALLURI SUBHASH CHANDRA BOSE,NARASAPUR,1,INC,M,ANDHRA PRADESH,256519,472161,460973,670999,70.37
30.84,UDDARAJU RAMAM,NARASAPUR,2,CPM,M,ANDHRA PRADESH,142162,472161,460973,670999,70.37
9.19,SATYANARAYANA VANKA,NARASAPUR,3,CPI,M,ANDHRA PRADESH,42358,472161,460973,670999,70.37
3.29,GANTA ARUNAKUMAR,NARASAPUR,4,RPK,M,ANDHRA PRADESH,15189,472161,460973,670999,70.37
0.52,VEGESNA BANGARRAJU,NARASAPUR,5,IND,M,ANDHRA PRADESH,2401,472161,460973,670999,70.37
0.51,VEDANTAM VENKATA SUBBA RAO,NARASAPUR,6,IND,M,ANDHRA PRADESH,2344,472161,460973,670999,70.37
63.62,KOMMAREDDY SURYANARAYANA,ELURU,1,INC,M,ANDHRA PRADESH,290410,467438,456511,669778,69.79
34.25,KRISHNA MURTHY GARAPATI,ELURU,2,BLD,M,ANDHRA PRADESH,156377,467438,456511,669778,69.79
